,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
204,hypergraph_not_selfdual_2025_09_29_18_46_59_9_0,10000,20,1.35515,0.0006,1.0398039968918253
205,hypergraph_not_selfdual_2025_09_29_18_46_05_7_0,10000,5,1.18505,0.0058,0.09381922845673457
206,hypergraph_not_selfdual_2025_09_29_18_45_23_6_0,10000,200,3.0761,0.1381,0.009531922330110635
207,hypergraph_not_selfdual_2025_09_29_18_46_06_7_1,10000,20,1.3288,0.0208,0.029112913238091717
208,hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,10000,200,3.1759,0.014,0.1037352893029457
209,hypergraph_not_selfdual_2025_09_29_18_46_56_7_1,10000,200,3.12335,0.0093,0.1539416193536688
210,hypergraph_not_selfdual_2025_09_29_18_46_25_7_0,10000,100,2.0038,0.9998,0.00010834367392279866
211,hypergraph_not_selfdual_2025_09_29_18_45_57_8_0,10000,200,3.00335,0.9997,0.00017050544268794947
212,hypergraph_not_selfdual_2025_09_29_18_46_29_9_0,10000,100,2.21125,0.0,inf
213,hypergraph_not_selfdual_2025_09_29_18_46_08_8_1,10000,200,3.1219,0.0033,0.43494381459752557
214,hypergraph_not_selfdual_2025_09_29_18_46_21_5_0,10000,100,2.0351,0.191,0.004421656307198035
215,hypergraph_not_selfdual_2025_09_29_18_47_00_9_1,10000,200,3.2626,0.0057,0.26284152091606355
216,hypergraph_not_selfdual_2025_09_29_18_45_50_9_1,10000,100,2.2561,0.0001,10.38920496172751
217,hypergraph_not_selfdual_2025_09_29_18_46_18_8_1,10000,20,1.3281,0.0008,0.7642099683846307
218,hypergraph_not_selfdual_2025_09_29_18_46_33_6_0,10000,200,3.0892,0.0504,0.02750932413677868
219,hypergraph_not_selfdual_2025_09_29_18_45_41_5_0,10000,20,1.2348,0.218,0.0023125057723771504
220,hypergraph_not_selfdual_2025_09_29_18_46_38_8_1,10000,200,3.12905,0.007,0.20513306280518942
221,hypergraph_not_selfdual_2025_09_29_18_46_21_5_0,10000,20,1.2197,0.1679,0.003055954841704436
